,id,after
0,0_0,Another
1,0_1,religious
2,0_2,family
3,0_3,is
4,0_4,of
5,0_5,Hazrat
6,0_6,Sayyed
7,0_7,Ahmad
8,0_8,and
9,0_9,his
10,0_10,nephew
11,0_11,Hazrat
12,0_12,Abdul
13,0_13,Haq
14,0_14,.
15,1_0,The
16,1_1,free
17,1_2,webapp
18,1_3,functionality
19,1_4,contains
20,1_5,advertisements
21,1_6,geared
22,1_7,to
23,1_8,small
24,1_9,businesses
25,1_10,.
26,2_0,Kuklick
27,2_1,","
28,2_2,p
29,2_3,.
30,2_4,75
31,2_5,Kuklick
32,2_6,","
33,2_7,p
34,2_8,.
35,2_9,76
36,2_10,Westcott
37,2_11,","
38,2_12,p
39,2_13,.
40,2_14,124
41,2_15,Kuklick
42,2_16,","
43,2_17,pp
44,2_18,.
45,3_0,""""
46,3_1,2010
47,3_2,FINA
48,3_3,World
49,3_4,Swimming
50,3_5,Championships
51,3_6,(
52,3_7,25 m
53,3_8,)
54,3_9,-
55,3_10,Women's
56,3_11,200
57,3_12,metre
58,3_13,freestyle
59,3_14,(
60,3_15,final
61,3_16,)
62,3_17,""""
63,3_18,.
64,4_0,In
65,4_1,2
66,4_2,D
67,4_3,the
68,4_4,symmetry
69,4_5,group
70,4_6,Dn
71,4_7,includes
72,4_8,reflections
73,4_9,in
74,4_10,lines
75,4_11,.
76,5_0,The
77,5_1,museum's
78,5_2,exhibition
79,5_3,hall
80,5_4,occupies
81,5_5,"3,400"
82,5_6,square
83,5_7,meters
84,5_8,(
85,5_9,"10,200 ft"
86,5_10,²
87,5_11,)
88,5_12,and
89,5_13,its
90,5_14,library
91,5_15,contains
92,5_16,"7,000"
93,5_17,books
94,5_18,.
95,6_0,""""
96,6_1,Japanese
97,6_2,German
98,6_3,relations
99,6_4,","
100,6_5,1895
101,6_6,-
102,6_7,1945
103,6_8,""""
104,6_9,","
105,6_10,Christian
106,6_11,W.
107,6_12,Spang
108,6_13,","
109,6_14,Rolf
110,6_15,Harald
111,6_16,Wippich
112,6_17,.
113,7_0,Pgs
114,7_1,1
115,7_2,","
116,7_3,2
117,7_4,&
118,7_5,7
119,7_6,.
120,8_0,Of
121,8_1,note
122,8_2,is
123,8_3,her
124,8_4,young
125,8_5,adult
126,8_6,novel
127,8_7,","
128,8_8,Patterson
129,8_9,Heights
130,8_10,","
131,8_11,which
132,8_12,was
133,8_13,a
134,8_14,2010
135,8_15,ALA
136,8_16,Pick
137,8_17,for
138,8_18,Reluctant
139,8_19,Readers
140,8_20,.
141,9_0,Once
142,9_1,boiling
143,9_2,","
144,9_3,remove
145,9_4,heat
146,9_5,","
147,9_6,cover
148,9_7,","
149,9_8,and
150,9_9,allow
151,9_10,to
152,9_11,cook
153,9_12,for
154,9_13,10
155,9_14,minutes
156,9_15,.
157,10_0,The
158,10_1,minor
159,10_2,planet
160,10_3,was
161,10_4,named
162,10_5,for
163,10_6,the
164,10_7,town
165,10_8,Seinajoki
166,10_9,","
167,10_10,located
168,10_11,in
169,10_12,Southern
170,10_13,Ostrobothnia
171,10_14,","
172,10_15,western
173,10_16,Finland
174,10_17,.
175,11_0,""""
176,11_1,Hot
177,11_2,Dog
178,11_3,Eating
179,11_4,Champ
180,11_5,Diagnosed
181,11_6,with
182,11_7,Arthritic
183,11_8,Jaw
184,11_9,.
185,11_10,""""
186,12_0,The
187,12_1,outhouse
188,12_2,is
189,12_3,surrounded
190,12_4,by
191,12_5,and
192,12_6,covered
193,12_7,in
194,12_8,ice
195,12_9,","
196,12_10,perched
197,12_11,off
198,12_12,the
199,12_13,end
200,12_14,of
201,12_15,a
202,12_16,rock
203,12_17,.
204,13_0,Including
205,13_1,access
206,13_2,to
207,13_3,government
208,13_4,services
209,13_5,","
210,13_6,web
211,13_7,services
212,13_8,and
213,13_9,VPNs
214,13_10,.
215,14_0,Grand
216,14_1,Master
217,14_2,Jong
218,14_3,Soo
219,14_4,Park
220,14_5,:
221,14_6,Biography
222,14_7,Retrieved
223,14_8,on
224,14_9,22 February 2009
225,14_10,.
226,15_0,Birsa
227,15_1,Munda
228,15_2,Athletics
229,15_3,Stadium
230,15_4,is
231,15_5,a
232,15_6,stadium
233,15_7,in
234,15_8,Ranchi
235,15_9,","
236,15_10,India
237,15_11,.
238,16_0,The
239,16_1,trophies
240,16_2,each
241,16_3,took
242,16_4,between
243,16_5,three
244,16_6,to
245,16_7,four
246,16_8,weeks
247,16_9,to
248,16_10,produce
249,16_11,","
250,16_12,and
251,16_13,weighed
252,16_14,8.5
253,16_15,pounds
254,16_16,(
255,16_17,3.9 kg
256,16_18,)
257,16_19,.
258,17_0,He
259,17_1,has
260,17_2,done
261,17_3,matriculation
262,17_4,.
263,18_0,Robert
264,18_1,Seymour
265,18_2,(
266,18_3,california
267,18_4,.
268,19_0,Edifici
269,19_1,Grupo
270,19_2,Godo
271,19_3,is
272,19_4,a
273,19_5,skyscraper
274,19_6,in
275,19_7,Barcelona
276,19_8,","
277,19_9,Catalonia
278,19_10,","
279,19_11,Spain
280,19_12,.
281,20_0,On
282,20_1,"May 20, 2008"
283,20_2,","
284,20_3,the
285,20_4,DOI
286,20_5,announced
287,20_6,that
288,20_7,it
289,20_8,would
290,20_9,take
291,20_10,"13,004"
292,20_11,acres
293,20_12,(
294,20_13,52.63 km2
295,20_14,)
296,20_15,into
297,20_16,trust
298,20_17,.
299,21_0,In
300,21_1,2000
301,21_2,/
302,21_3,01
303,21_4,Lokomotiv
304,21_5,finished
305,21_6,2nd
306,21_7,.
307,22_0,The
308,22_1,clan
309,22_2,is
310,22_3,descended
311,22_4,from
312,22_5,King
313,22_6,Ghallu
314,22_7,Singh
315,22_8,of
316,22_9,Rajhistan
317,22_10,.
318,23_0,But
319,23_1,later
320,23_2,some
321,23_3,mischievous
322,23_4,&
323,23_5,opportunist
324,23_6,persons
325,23_7,destroyed
326,23_8,its
327,23_9,beauty
328,23_10,for
329,23_11,their
330,23_12,small
331,23_13,profits
332,23_14,.
333,24_0,As
334,24_1,of
335,24_2,2016
336,24_3,","
337,24_4,the
338,24_5,chain
339,24_6,has
340,24_7,approximately
341,24_8,1950
342,24_9,locations
343,24_10,.
344,25_0,Croydon
345,25_1,Hills
346,25_2,is
347,25_3,a
348,25_4,suburb
349,25_5,of
350,25_6,Melbourne
351,25_7,","
352,25_8,Victoria
353,25_9,","
354,25_10,Australia
355,25_11,","
356,25_12,31 km
357,25_13,north
358,25_14,east
359,25_15,of
360,25_16,Melbourne's
361,25_17,Central
362,25_18,Business
363,25_19,District
364,25_20,.
365,26_0,This
366,26_1,article
367,26_2,provides
368,26_3,an
369,26_4,overview
370,26_5,of
371,26_6,liberalism
372,26_7,in
373,26_8,Iran
374,26_9,.
375,27_0,Dietrich
376,27_1,Bonhoeffer
377,27_2,","
378,27_3,Letters
379,27_4,and
380,27_5,Papers
381,27_6,from
382,27_7,Prison
383,27_8,p
384,27_9,7
385,27_10,.
386,28_0,In
387,28_1,1958
388,28_2,Vrba
389,28_3,received
390,28_4,an
391,28_5,invitation
392,28_6,to
393,28_7,an
394,28_8,international
395,28_9,conference
396,28_10,in
397,28_11,Israel
398,28_12,","
399,28_13,and
400,28_14,while
401,28_15,there
402,28_16,he
403,28_17,defected
404,28_18,.
405,29_0,Clark
406,29_1,continued
407,29_2,to
408,29_3,play
409,29_4,an
410,29_5,important
411,29_6,role
412,29_7,in
413,29_8,Australia's
414,29_9,success
415,29_10,that
416,29_11,summer
417,29_12,.
418,30_0,CUPS
419,30_1,Software
420,30_2,Administrators
421,30_3,Manual
422,30_4,","
423,30_5,Classes
424,30_6,.
425,31_0,""""
426,31_1,Highway
427,31_2,Resolutions
428,31_3,""""
429,31_4,(
430,31_5,Route
431,31_6,259
432,31_7,PDF
433,31_8,(
434,31_9,11.8 MB
435,31_10,)
436,31_11,)
437,31_12,.
438,32_0,The
439,32_1,band
440,32_2,also
441,32_3,garnered
442,32_4,much
443,32_5,attention
444,32_6,for
445,32_7,its
446,32_8,prolific
447,32_9,output
448,32_10,","
449,32_11,with
450,32_12,a
451,32_13,seemingly
452,32_14,endless
453,32_15,stream
454,32_16,of
455,32_17,releases
456,32_18,.
457,33_0,Journal
458,33_1,of
459,33_2,Applied
460,33_3,Social
461,33_4,Psychology
462,33_5,40
463,33_6,(
464,33_7,3
465,33_8,)
466,33_9,:
467,33_10,534
468,33_11,.
469,34_0,It
470,34_1,lies
471,34_2,at
472,34_3,an
473,34_4,elevation
474,34_5,of
475,34_6,105
476,34_7,feet
477,34_8,(
478,34_9,32 m
479,34_10,)
480,34_11,.
481,35_0,Donna
482,35_1,Loren
483,35_2,performed
484,35_3,the
485,35_4,song
486,35_5,on
487,35_6,the
488,35_7,television
489,35_8,series
490,35_9,Shindig
491,35_10,!
492,36_0,It
493,36_1,was
494,36_2,released
495,36_3,digitally
496,36_4,on
497,36_5,"June 20, 2013"
498,36_6,by
499,36_7,Chrome
500,36_8,Entertainment
501,36_9,and
502,36_10,CJ
503,36_11,E&M
504,36_12,Music
505,36_13,.
506,37_0,Clad
507,37_1,in
508,37_2,light
509,37_3,blue
510,37_4,jumpsuits
511,37_5,","
512,37_6,they
513,37_7,quickly
514,37_8,became
515,37_9,known
516,37_10,by
517,37_11,anti
518,37_12,government
519,37_13,protesters
520,37_14,as
521,37_15,the
522,37_16,""""
523,37_17,Blue
524,37_18,Meanies
525,37_19,""""
526,37_20,.
527,38_0,These
528,38_1,Change
529,38_2,Agents
530,38_3,share
531,38_4,their
532,38_5,on
533,38_6,going
534,38_7,","
535,38_8,personal
536,38_9,stories
537,38_10,through
538,38_11,video
539,38_12,","
540,38_13,photos
541,38_14,","
542,38_15,blogs
543,38_16,","
544,38_17,Twitter
545,38_18,","
546,38_19,and
547,38_20,other
548,38_21,interactive
549,38_22,media
550,38_23,.
551,39_0,""""
552,39_1,Tupaia
553,39_2,minor
554,39_3,""""
555,39_4,(
556,39_5,On
557,39_6,line
558,39_7,)
559,39_8,","
560,39_9,Animal
561,39_10,Diversity
562,39_11,Web
563,39_12,.
564,40_0,The
565,40_1,chamber
566,40_2,houses
567,40_3,a
568,40_4,massive
569,40_5,seated
570,40_6,7.3
571,40_7,metres
572,40_8,(
573,40_9,24 ft
574,40_10,)
575,40_11,-
576,40_12,high
577,40_13,Buddha
578,40_14,statue
579,40_15,","
580,40_16,carved
581,40_17,out
582,40_18,of
583,40_19,solid
584,40_20,white
585,40_21,marble
586,40_22,.
587,41_0,Jane's
588,41_1,Fighting
589,41_2,Ships
590,41_3,","
591,41_4,1953
592,41_5,-
593,41_6,54
594,41_7,.
595,42_0,It
596,42_1,could
597,42_2,carry
598,42_3,40
599,42_4,soldiers
600,42_5,or
601,42_6,"3,500 kg"
602,42_7,(
603,42_8,"7,716 lb"
604,42_9,)
605,42_10,of
606,42_11,cargo
607,42_12,","
608,42_13,including
609,42_14,2
610,42_15,GAZ
611,42_16,69
612,42_17,jeeps
613,42_18,or
614,42_19,anti
615,42_20,tank
616,42_21,guns
617,42_22,.
618,43_0,Wangen
619,43_1,Bruttisellen
620,43_2,has
621,43_3,a
622,43_4,population
623,43_5,(
624,43_6,as
625,43_7,of
626,43_8,31 December 2014
627,43_9,)
628,43_10,of
629,43_11,"7,632"
630,43_12,.
631,44_0,PREDICTS
632,44_1,HIS
633,44_2,RE
634,44_3,ELECTION
635,44_4,.
636,45_0,But
637,45_1,graphene
638,45_2,has
639,45_3,zero
640,45_4,bandgap
641,45_5,","
642,45_6,which
643,45_7,results
644,45_8,in
645,45_9,a
646,45_10,disqualifying
647,45_11,low
648,45_12,on
649,45_13,/
650,45_14,off
651,45_15,ratio
652,45_16,in
653,45_17,transistor
654,45_18,applications
655,45_19,.
656,46_0,Birkar
657,46_1,","
658,46_2,Cascini
659,46_3,","
660,46_4,Hacon
661,46_5,","
662,46_6,and
663,46_7,McKernan
664,46_8,.
665,47_0,He
666,47_1,wrote
667,47_2,:
668,47_3,""""
669,47_4,Fabulously
670,47_5,well
671,47_6,acted
672,47_7,and
673,47_8,crafted
674,47_9,","
675,47_10,but
676,47_11,when
677,47_12,I
678,47_13,reach
679,47_14,for
680,47_15,it
681,47_16,","
682,47_17,my
683,47_18,hand
684,47_19,closes
685,47_20,on
686,47_21,air
687,47_22,.
688,48_0,Vikas
689,48_1,has
690,48_2,represented
691,48_3,CommonFloor
692,48_4,at
693,48_5,many
694,48_6,of
695,48_7,the
696,48_8,prestigious
697,48_9,entrepreneurial
698,48_10,and
699,48_11,start
700,48_12,up
701,48_13,forums
702,48_14,.
703,49_0,10 Nov. 2008
704,49_1,http://www.britannica.com/EBchecked/topic/285248/India
705,49_2,IndiaEncyclopedia
706,49_3,Britannica
707,49_4,.
708,50_0,""""
709,50_1,1987
710,50_2,n
711,50_3,c
712,50_4,double
713,50_5,A
714,50_6,Basketball
715,50_7,Tournament
716,50_8,Bracket
717,50_9,""""
718,50_10,.
719,51_0,Flying
720,51_1,(
721,51_2,New
722,51_3,York
723,51_4,","
724,51_5,New
725,51_6,York
726,51_7,:
727,51_8,Ziff
728,51_9,Davis
729,51_10,)
730,51_11,:
731,51_12,106
732,51_13,.
733,52_0,Retrieved
734,52_1,on
735,52_2,12 June 2007
736,52_3,","
737,52_4,from
738,52_5,Encyclopaedia
739,52_6,Britannica
740,52_7,Online
741,52_8,:
742,52_9,http://search.eb.com/eb/article-9061377
743,52_10,""""
744,52_11,Cartersville
745,52_12,City
746,52_13,School
747,52_14,District
748,52_15,::
749,52_16,""""
750,52_17,.
751,53_0,The
752,53_1,Second
753,53_2,building
754,53_3,is
755,53_4,an
756,53_5,outstanding
757,53_6,example
758,53_7,of
759,53_8,a
760,53_9,highly
761,53_10,detailed
762,53_11,vernacular
763,53_12,frame
764,53_13,building
765,53_14,.
766,54_0,From
767,54_1,1918
768,54_2,-
769,54_3,1919
770,54_4,Christie
771,54_5,oversaw
772,54_6,another
773,54_7,'
774,54_8,LOuevre
775,54_9,de
776,54_10,la
777,54_11,Goutte
778,54_12,de
779,54_13,Café
780,54_14,at
781,54_15,Mulhouse
782,54_16,.
783,55_0,The
784,55_1,distance
785,55_2,to
786,55_3,Silifke
787,55_4,is
788,55_5,30
789,55_6,kilometres
790,55_7,(
791,55_8,19 mi
792,55_9,)
793,55_10,and
794,55_11,to
795,55_12,Mersin
796,55_13,is
797,55_14,85
798,55_15,kilometres
799,55_16,(
800,55_17,53 mi
801,55_18,)
802,55_19,.
803,56_0,The
804,56_1,Knights
805,56_2,of
806,56_3,Solamnia
807,56_4,are
808,56_5,the
809,56_6,primary
810,56_7,opposition
811,56_8,of
812,56_9,Mina
813,56_10,","
814,56_11,although
815,56_12,they
816,56_13,are
817,56_14,often
818,56_15,defeated
819,56_16,.
820,57_0,U.S.
821,57_1,and
822,57_2,U.K.
823,57_3,Re
824,57_4,entry
825,57_5,into
826,57_6,UNESCO
827,57_7,(
828,57_8,October 1995
829,57_9,?
830,58_0,Martin
831,58_1,","
832,58_2,J. K.
833,58_3,","
834,58_4,Handasyde
835,58_5,K.A.
836,58_6,;
837,58_7,et
838,58_8,al
839,58_9,.
840,59_0,""""
841,59_1,BBC
842,59_2,SPORT
843,59_3,—
844,59_4,Football
845,59_5,—
846,59_6,My
847,59_7,Club
848,59_8,—
849,59_9,Leeds
850,59_10,United
851,59_11,—
852,59_12,Rovers'
853,59_13,Douglas
854,59_14,signs
855,59_15,for
856,59_16,Leeds
857,59_17,""""
858,59_18,.
859,60_0,""""
860,60_1,Where
861,60_2,are
862,60_3,the
863,60_4,richest
864,60_5,men
865,60_6,investing
866,60_7,their
867,60_8,money
868,60_9,?
869,60_10,""""
870,61_0,Clénet
871,61_1,was
872,61_2,a
873,61_3,manufacturer
874,61_4,of
875,61_5,automobiles
876,61_6,with
877,61_7,old
878,61_8,retro
879,61_9,styling
880,61_10,","
881,61_11,mixed
882,61_12,with
883,61_13,modern
884,61_14,technology
885,61_15,.
886,62_0,The
887,62_1,mill
888,62_2,was
889,62_3,working
890,62_4,until
891,62_5,1924
892,62_6,","
893,62_7,and
894,62_8,it
895,62_9,worked
896,62_10,again
897,62_11,in
898,62_12,1932
899,62_13,-
900,62_14,33
901,62_15,.
902,63_0,USS
903,63_1,S-
904,63_2,47
905,63_3,(
906,63_4,SS-
907,63_5,158
908,63_6,)
909,63_7,was
910,63_8,a
911,63_9,third
912,63_10,group
913,63_11,(
914,63_12,S-
915,63_13,42
916,63_14,)
917,63_15,S
918,63_16,-
919,63_17,class
920,63_18,submarine
921,63_19,of
922,63_20,the
923,63_21,United
924,63_22,States
925,63_23,Navy
926,63_24,.
927,64_0,Same
928,64_1,as
929,64_2,BOGOF
930,64_3,except
931,64_4,this
932,64_5,is
933,64_6,10
934,64_7,p
935,64_8,per
936,64_9,ticket
937,64_10,and
938,64_11,not
939,64_12,15
940,64_13,p
941,64_14,like
942,64_15,BOGOF
943,64_16,.
944,65_0,It
945,65_1,is
946,65_2,signed
947,65_3,at
948,65_4,the
949,65_5,intersection
950,65_6,with
951,65_7,49
952,65_8,","
953,65_9,and
954,65_10,is
955,65_11,used
956,65_12,to
957,65_13,access
958,65_14,truck
959,65_15,stops
960,65_16,and
961,65_17,local
962,65_18,traffic
963,65_19,.
964,66_0,Caliban
965,66_1,and
966,66_2,the
967,66_3,Witch
968,66_4,.
969,67_0,Hesse
970,67_1,","
971,67_2,A. J.
972,67_3,Contributions
973,67_4,to
974,67_5,a
975,67_6,Knowledge
976,67_7,of
977,67_8,the
978,67_9,Fauna
979,67_10,of
980,67_11,South
981,67_12,West
982,67_13,Africa
983,67_14,.
984,68_0,Mintos
985,68_1,""""
986,68_2,Mintos
987,68_3,expands
988,68_4,to
989,68_5,Lithuania
990,68_6,""""
991,68_7,Retrieved
992,68_8,16 October 2015
993,68_9,.
994,69_0,The
995,69_1,beach
996,69_2,is
997,69_3,frequented
998,69_4,by
999,69_5,surfers
